question,category
I thoroughly proofread important written work before finalizing it.,communication
I ensure my written messages convey the intended tone and emotional context.,communication
I can explain complex topics clearly to people with no background knowledge.,communication
My body language consistently matches the verbal message I am communicating.,communication
I ensure my message is understood correctly by checking for comprehension.,communication
I use appropriate eye contact to enhance my communication effectiveness.,communication
I structure important emails and documents in a logical and organized manner.,communication
I can accurately interpret others' nonverbal cues during interactions.,communication
I handle interruptions during presentations without losing my train of thought.,communication
I ensure clarity in my written communications by using precise language.,communication
I adapt my communication style effectively to different types of audiences.,communication
I adapt my writing style appropriately for different purposes and audiences.,communication
I effectively adjust my nonverbal communication based on different settings.,communication
I am highly aware of my body language during conversations.,communication
I actively use strategies to improve my listening skills on a regular basis.,communication
