student_id,group,skill_cluster,archetype,communication_score,leadership_score,time_management_score,analytical_score,specialization,preferred_programming_language
ETU_117,1,0,Strong Communicator,3.944667315721335,1.7826862181478336,3.3893885868164886,1.9784756797315324,Embedded Systems,C++
ETU_025,1,1,Developing Potential,2.4298179530809363,2.1170356871206324,2.47991209609179,2.080501111235866,Mobile Development,React
ETU_030,1,2,Analytical Thinker,3.312979151201984,1.5132457285176846,3.2948806632961625,4.457862633467746,Cybersecurity,C++
ETU_055,1,3,Natural Leader,3.489240036401232,4.347493258927008,3.736278378929751,1.450629194458073,DevOps & Cloud Computing,C++
ETU_104,2,0,Strong Communicator,3.8640898483601736,2.020136898765682,1.9836334742984856,1.0,Embedded Systems,Java
ETU_001,2,1,Developing Potential,1.80328624690989,2.054979669748527,1.5762749756314323,1.898474895491094,Web Development,PHP
ETU_008,2,2,Analytical Thinker,3.5249240671267064,2.598115264079485,3.2245091235921093,5.0,Network Engineering,C#
ETU_029,2,3,Balanced Profile,2.918510581984514,3.4867769477906183,2.575623971618423,3.1752191894591015,Software Engineering,JavaScript
ETU_070,3,0,Strong Communicator,3.7835495906074263,2.7515591338815697,1.8020846791653278,2.687748546938483,Cybersecurity,JavaScript
ETU_109,3,1,Developing Potential,2.051404163468783,1.5981728021337576,3.2258907792924836,2.861417890263623,Embedded Systems,React
ETU_012,3,2,Time Manager,2.778042482462469,2.549183986771822,4.117060554960239,3.0063975196938126,Cybersecurity,Python
ETU_040,3,3,Time Manager,2.0075057356726256,3.8653985555571904,3.9283400969346287,1.9855886340932989,Web Development,React
ETU_088,4,0,Balanced Profile,3.074600023583761,2.7156823260955076,3.1046755769020216,2.598227128764768,Mobile Development,C#
ETU_060,4,1,Developing Potential,1.0,2.3182750947417974,1.4861396878492428,2.3814617807420584,Cybersecurity,C++
ETU_015,4,2,Analytical Thinker,2.72101512921415,2.183377538274893,4.156955732396315,3.6055542229134603,Software Engineering,Java
ETU_056,4,3,Balanced Profile,3.032669963509546,3.6070947827105933,2.9706616899155365,2.2568860919178553,Web Development,Angular
ETU_065,5,0,Developing Potential,2.944527544062091,2.7968646082370374,2.0821596821959854,1.7271373192438686,Cybersecurity,C#
