competency,question,answer1,answer2,answer3,answer4
Creativity,You are creative and inspirational.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You create a lot of new ideas.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You are creative.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You add value to the department/organization.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,"You conceive, implement and evaluate ideas.",Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You develop solutions to challenging problems.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You work at a quick pace.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You prepare equipment at the start of the shift.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,I take steps to prepare for the start of the project.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,I take advantage of changes to the current situation.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,I take proactive steps to address potential issues before they become a problem.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You avoid procrastinating.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,"You give direct, constructive, and actionable feedback.",Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You recognize individual and team accomplishments and reward them appropriately.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You communicate calmly and honestly even when stressed.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You give inspiring presentations or discussions.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You provide structure.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You influence the decisions made at the Company.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You use timely and appropriate corrective/disciplinary actions.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You set specific and measurable goals for others and follows through to completion.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,I implement remediation plans as needed.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You identify specific actions to be addressed through the remediation plan.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,I review monthly or weekly reports of quantitative metrics (sales/production) to measure performance level.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You recognize and value good performance.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You have strong organizational skills to keep the workspace and department in order,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,"You are able to develop, justify and present a budget.",Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You take responsibility for decisions.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You complete reports on-time.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You are enthusiastic about taking on challenging projects.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You accurately implement contract provisions.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You manage impact of increased traffic flow and freight receipt by detailed planning of controllables and by anticipating and reacting positively to uncontrollables.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,"You bounce back from daily crisis, disappointments and frustrations.",Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You consistently use a scheduler/planner.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You are aware of the schedule and the importance of being on-time.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You effectively manage time to stay on schedule.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You plan and organize continuously while performing all other responsibilities and activities.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You use technology in decision making and problem solving.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You maximize the use of new technology to deliver products and services.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You are proficient in the use of technical systems and processes.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You adopt the implementation of new technology into the workplace.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You apply complex rules and regulations to maintain optimal system performance.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You identify gaps between actual and needed technical competencies and provide recommendations for required training.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You set high personal standards of performance.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You set a good example,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You act as a resource without removing individual responsibility.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You take personal responsibility for results.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You set a good example.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You complete assigned work tasks.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You support the successes of other employees.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You try to ensure employees are ready to move to the next level.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You set performance objectives for subordinates that encourages development opportunities.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You create a work environment that fosters positive feedback to employees.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You encourage employees through recognition of positive changes in behavior.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,You create opportunities for professional development.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
Creativity,I prevent minor issues from escalating into major problems.,Needs Improvement,Meets Minimum Standards,Is Proficient,Role Model
