Competency,Questions,Answer1,Answer2,Answer3
Innovation,Prioritizes disruptive innovation to achieve substantial growth and maintain a competitive edge in the marketplace.,Needs Improvement,Meets Minimum Standards,Is Proficient
Innovation,Seeks new ideas and adapts to changing environments.,Needs Improvement,Meets Minimum Standards,Is Proficient
Innovation,Follows through and implements innovation initiatives.,Needs Improvement,Meets Minimum Standards,Is Proficient
Innovation,Facilitates ongoing technical training and development to enable employees to contribute to innovative solutions.,Needs Improvement,Meets Minimum Standards,Is Proficient
Innovation,Challenges current procedures / processes to develop new solutions.,Needs Improvement,Meets Minimum Standards,Is Proficient
Achievement,Sets performance metrics to measure achievement or attainment of goals.,Needs Improvement,Meets Minimum Standards,Is Proficient
Achievement,Met required benchmarks for the position.,Needs Improvement,Meets Minimum Standards,Is Proficient
Achievement,Driven to complete goals despite obstacles that may arise.,Needs Improvement,Meets Minimum Standards,Is Proficient
Achievement,Is determined to complete tasks regardless of obstacles that may occur.,Needs Improvement,Meets Minimum Standards,Is Proficient
Achievement,Demonstrates a sense of urgency to quickly and accurately solve problems and issues.,Needs Improvement,Meets Minimum Standards,Is Proficient
Adaptability,Adjusts priorities to the new Corporate mission.,Needs Improvement,Meets Minimum Standards,Is Proficient
Adaptability,Effective in working with different personnel of the team.,Needs Improvement,Meets Minimum Standards,Is Proficient
Adaptability,Accommodates changes as needed.,Needs Improvement,Meets Minimum Standards,Is Proficient
Adaptability,Continually trying to improve skills to remain current.,Needs Improvement,Meets Minimum Standards,Is Proficient
Adaptability,Adjusts plans to meet the needs of new constraints.,Needs Improvement,Meets Minimum Standards,Is Proficient
Action,Drives and mobilizes others progress toward goals.,Needs Improvement,Meets Minimum Standards,Is Proficient
Action,"Makes effective decisions, even when under pressure.",Needs Improvement,Meets Minimum Standards,Is Proficient
Action,Sets high standards for themselves and others.,Needs Improvement,Meets Minimum Standards,Is Proficient
Action,Anticipates critical incidents in the department and takes steps to mitigate their effect.,Needs Improvement,Meets Minimum Standards,Is Proficient
Action,Works across organizational lines and boundaries to attain goals.,Needs Improvement,Meets Minimum Standards,Is Proficient
Continual Learning,Views setbacks as opportunities to learn from.,Needs Improvement,Meets Minimum Standards,Is Proficient
Continual Learning,Is open to new ideas and concepts.,Needs Improvement,Meets Minimum Standards,Is Proficient
Continual Learning,Takes charge of their training and skills enhancement.,Needs Improvement,Meets Minimum Standards,Is Proficient
