student_id,student_name,communication_score,leadership_score,time_management_score,analytical_score,overall_score,kmeans_cluster,dbscan_cluster
STU001,Student 1,3.2,1.63,3.57,1.21,2.4025,3,3
STU002,Student 2,5.0,4.05,1.34,3.13,3.38,2,0
STU003,Student 3,4.63,2.76,1.65,3.16,3.05,1,1
STU004,Student 4,4.09,3.53,4.59,3.55,3.9399999999999995,1,1
STU005,Student 5,2.3200000000000003,5.0,3.43,3.9,3.6625,0,1
STU006,Student 6,2.3200000000000003,2.5,1.04,4.9,2.6900000000000004,0,-1
STU007,Student 7,1.93,3.14,1.41,3.07,2.3875,0,2
STU008,Student 8,5.0,4.52,3.65,2.29,3.865,2,4
STU009,Student 9,4.1,2.42,1.02,4.18,2.9299999999999997,1,-1
STU010,Student 10,4.53,1.81,1.64,2.08,2.5149999999999997,1,1
STU011,Student 11,1.78,2.66,3.19,2.76,2.5975,3,1
STU012,Student 12,5.0,2.1399999999999997,3.77,1.31,3.055,1,3
STU013,Student 13,5.0,5.0,3.61,1.1,3.6774999999999998,2,4
STU014,Student 14,2.55,4.73,1.9,4.85,3.5075,0,1
STU015,Student 15,2.4299999999999997,4.029999999999999,3.85,4.34,3.6624999999999996,0,1
STU016,Student 16,2.4299999999999997,4.99,1.95,3.78,3.2874999999999996,0,1
STU017,Student 17,2.92,4.71,2.3,2.64,3.1425,2,1
STU018,Student 18,3.8,2.25,3.99,1.69,2.9324999999999997,1,3
STU019,Student 19,3.4299999999999997,5.0,3.6,1.63,3.415,2,4
STU020,Student 20,2.8600000000000003,3.66,4.4,2.0,3.2300000000000004,3,-1
STU021,Student 21,4.15,4.73,3.63,3.2,3.9275,2,4
STU022,Student 22,2.26,5.0,3.27,3.86,3.5974999999999997,0,1
STU023,Student 23,2.87,2.77,1.37,3.64,2.6625,0,2
STU024,Student 24,3.17,1.94,2.47,2.12,2.425,1,-1
STU025,Student 25,3.5199999999999996,2.41,2.06,4.82,3.2025,1,1
STU026,Student 26,4.14,2.71,2.58,4.65,3.52,1,1
STU027,Student 27,1.8,4.27,5.0,3.92,3.7475,0,5
STU028,Student 28,3.06,4.44,3.17,4.15,3.705,0,1
STU029,Student 29,3.37,1.03,5.0,3.38,3.1950000000000003,3,1
STU030,Student 30,1.19,3.04,4.12,2.69,2.7600000000000002,3,1
STU031,Student 31,3.43,2.67,4.779999999999999,3.12,3.5,3,1
STU032,Student 32,1.68,1.89,3.61,4.73,2.9775,3,1
STU033,Student 33,1.26,1.48,3.91,1.76,2.1025,3,6
STU034,Student 34,4.8,2.35,3.5700000000000003,2.16,3.22,1,3
STU035,Student 35,4.86,4.77,2.38,1.88,3.4724999999999993,2,7
STU036,Student 36,4.23,2.29,4.49,1.8599999999999999,3.2175000000000002,1,3
STU037,Student 37,2.22,3.08,2.72,5.0,3.2550000000000003,0,1
STU038,Student 38,1.39,3.81,1.7000000000000002,4.51,2.8525,0,8
STU039,Student 39,3.74,2.45,4.18,3.5999999999999996,3.4925,1,1
STU040,Student 40,2.76,4.89,2.31,2.09,3.0124999999999997,2,1
STU041,Student 41,1.49,4.85,5.0,3.67,3.7525,0,5
STU042,Student 42,2.98,2.01,5.0,3.59,3.395,3,1
